id,content_title,content_description,Link Comma,start_grade,end_grade,subject,Cost,Device,Language of Instruction,Website Langauage
501,Chu Chu TV,"ChuChuTV is a family of youtube channels that engage children through a series of upbeat nursery rhymes and educational songs with colorful animations. ChuChu TV characters will teach kids their favorite nursery rhymes, colors, shapes, numbers in Hindi","https://www.youtube.com/channel/UCbH4Ii9Htdqc-QgxoV3M0Qw/videos,https://www.youtube.com/channel/UCbH4Ii9Htdqc-QgxoV3M0Qw/videos",0,1,"English, Math, Hindi",Free,3,Hindi,EN
502,Jugnu Kids - Nursery Rhymes and Kids Songs,Jugnu Kids YouTube channels are for your young kids to enjoy with characters that teach them to sing and dance while learning.,"https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos,https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos",0,1,"English, Math, Hindi",Free,3,"English, Hindi",EN
503,IIT PAL,IIT PAL lectures are by reputed IIT Professors/Subject Experts for clarifying concepts in the subject,"IIT PAL Physics==https://www.youtube.com/channel/UCwNr8peMxn8-Nc2V_RZsRvg/videos;IIT PAL Chemistry==https://www.youtube.com/channel/UC3Zv0XxBjYlWMjbMv8ODE8Q/videos;IIT PAL Maths==https://www.youtube.com/channel/UCfz4W0rG8HoyyrrK6qNc1rA/videos;IIT PAL Biology==https://www.youtube.com/channel/UCqiFTyCxFFMAN_lhAzIkdpA,IIT PAL Physics==https://www.youtube.com/channel/UCwNr8peMxn8-Nc2V_RZsRvg/videos;IIT PAL Chemistry==https://www.youtube.com/channel/UC3Zv0XxBjYlWMjbMv8ODE8Q/videos;IIT PAL Maths==https://www.youtube.com/channel/UCfz4W0rG8HoyyrrK6qNc1rA/videos;IIT PAL Biology==https://www.youtube.com/channel/UCqiFTyCxFFMAN_lhAzIkdpA",14,14,"Science, Math",Free,3,English,EN
504,ExamFear Education,Select from 6000+ video lessons that explain key concepts and show how to solve problems and answer questions. Lectures range from 7 minute videos to over 2 hours.,"ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg,https://play.google.com/store/apps/details?id=com.examfear.app",6,12,"English, Math, Science",Free,3,English,EN
505,ExamFear Education,Video lessons that explain key concepts and show how to solve problems and answer questions. Lectures range from 7 minute videos to over 2 hours.,"ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/search?query=neet;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg/search?query=neet,ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/search?query=neet;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg/search?query=neet",14,14,NEET,Free,3,English,EN
506,Khan Academy India - Gujarati,An extensive free library of curriculum-aligned Gujarati video lessons covering a range of topics in Science in Math for grades 11 and 12.,"https://www.youtube.com/channel/UCaglh99xdT0llj9Fn2RIsGQ/videos,https://www.youtube.com/channel/UCaglh99xdT0llj9Fn2RIsGQ/videos",11,12,"Math, Science",Free,3,Gujarati,EN
507,Bodhaguru,A collection of over 2700 fun animated videos that use short stories to cover a range of topics.,"https://www.youtube.com/user/BodhaguruLearning/,https://play.google.com/store/apps/details?id=com.bodhaguru.studyncertcbsevideoshindi",0,10,"Math, Science",Free,3,"Hindi, English",EN
508,eVidhyarthi,A collection of video lectures on concepts for IIT JEE mains and advanced.,"https://www.youtube.com/channel/UCKzqFY6UPIujOUcuxV977EA/videos?sub_confirmation=1,https://www.youtube.com/channel/UCKzqFY6UPIujOUcuxV977EA/videos?sub_confirmation=1",14,14,IIT JEE,Free,3,"Hindi, English",EN
509,Shiksha House,"A collection of 3D animated videos for grades 9 to 12 with content across topics in Science, Social Studies, and Math.","https://www.youtube.com/channel/UCe5YkOlh2sy_JdRUDfge-lQ,https://www.youtube.com/channel/UCe5YkOlh2sy_JdRUDfge-lQ",9,12,"Math, Science, Social Science",Free,3,English,EN
510,Don't Memorise ,"A library of 2D animated video lectures that explain key concepts and show solutions to problems in English, covering topics in Math and Science for grades 9 to 12.","Don't Memorise - English==https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/featured;Don't Memorise - Hindi==https://www.youtube.com/channel/UCSZVTk6wAtmorpBjP_uEjpw,Don't Memorise - English==https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/featured;Don't Memorise - Hindi==https://www.youtube.com/channel/UCSZVTk6wAtmorpBjP_uEjpw",9,12,"Math, Science",Free,3,English,EN
511,Physics Wallah,A collection of videos lectures in Hinglish covering concepts in Physics and Chemistry,"https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ,https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ",10,12,Science,Free,3,Hindi,EN
